"checking_account","duration_months","credit_history","purpose","credit_amount","savings","present_employment_since","installment_rate","personal_status_sex","other_deptors","present_residence","property","age_years","other_installment_plans","housing","existing_credits","job","people_liable_maintenance","telephone","foreign_worker","response"
"No checking account",10,"existing credits paid back duly till now","car (new)",1546,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"real estate",31,"none","own",1,"unskilled - resident",2,"none","no","0"
"No checking account",24,"existing credits paid back duly till now","furniture/equipment",929,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",31,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",4,"critical account/other credits existing (not at this bank)","car (new)",1455,"... <  51 euro","4  <= ... < 7 years",2,"male   : single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",15,"existing credits paid back duly till now","furniture/equipment",1845,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","guarantor",1,"(if not real estate) building society savings agreement/ life insurance",46,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",48,"no credits taken/ all credits paid back duly","car (new)",8358,"255 euro <= ... < 511 euro","... < 1 year",1,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",24,"all credits at this bank paid back duly","furniture/equipment",3349,"255 euro <= ... < 511 euro","... < 1 year",4,"male   : single","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","yes","1"
"No checking account",12,"existing credits paid back duly till now","car (new)",2859,"unknown/ no savings account","unemployed",4,"male   : single","none",4,"unknown / no property",38,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",18,"existing credits paid back duly till now","furniture/equipment",1533,"... <  51 euro","... < 1 year",4,"male   : married/widowed","co-applicant",1,"(if not real estate) building society savings agreement/ life insurance",43,"none","own",1,"unskilled - resident",2,"none","yes","1"
"No checking account",24,"existing credits paid back duly till now","radio/television",3621,"51 <= ... <  255 euro",".. >= 7 years",2,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",31,"none","own",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",18,"critical account/other credits existing (not at this bank)","business",3590,"... <  51 euro","unemployed",3,"male   : married/widowed","none",3,"(if not optin 1 or 2) car or other, not in attribute",40,"none","own",3,"unemployed/ unskilled  - non-resident",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",36,"delay in paying off in the past","business",2145,"... <  51 euro","4  <= ... < 7 years",2,"male   : single","none",1,"(if not optin 1 or 2) car or other, not in attribute",24,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","car (used)",4113,"255 euro <= ... < 511 euro","... < 1 year",3,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",28,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"No checking account",36,"existing credits paid back duly till now","furniture/equipment",10974,"... <  51 euro","unemployed",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",12,"existing credits paid back duly till now","car (new)",1893,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"(if not real estate) building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",24,"critical account/other credits existing (not at this bank)","radio/television",1231,".. >= 511 euro",".. >= 7 years",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",57,"none","rent",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
">= 102 euro",30,"critical account/other credits existing (not at this bank)","radio/television",3656,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",49,"stores","own",2,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",9,"critical account/other credits existing (not at this bank)","radio/television",1154,"... <  51 euro",".. >= 7 years",2,"male   : single","none",4,"real estate",37,"none","own",3,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",28,"existing credits paid back duly till now","car (new)",4006,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",45,"none","own",1,"unskilled - resident",1,"none","yes","1"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","furniture/equipment",3069,"51 <= ... <  255 euro",".. >= 7 years",4,"male   : single","none",4,"unknown / no property",30,"none","for free",1,"skilled employee / official",1,"none","yes","0"
"No checking account",6,"critical account/other credits existing (not at this bank)","radio/television",1740,"... <  51 euro",".. >= 7 years",2,"male   : married/widowed","none",2,"real estate",30,"none","rent",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",21,"delay in paying off in the past","car (new)",2353,"... <  51 euro","1  <= ... < 4 years",1,"male   : divorced/separated","none",4,"(if not real estate) building society savings agreement/ life insurance",47,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",15,"existing credits paid back duly till now","car (new)",3556,"unknown/ no savings account","1  <= ... < 4 years",3,"male   : single","none",2,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",24,"existing credits paid back duly till now","radio/television",2397,"255 euro <= ... < 511 euro",".. >= 7 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",35,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",6,"existing credits paid back duly till now","repairs",454,"... <  51 euro","... < 1 year",3,"male   : married/widowed","none",1,"(if not real estate) building society savings agreement/ life insurance",22,"none","own",1,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",30,"existing credits paid back duly till now","radio/television",1715,"unknown/ no savings account","1  <= ... < 4 years",4,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",27,"critical account/other credits existing (not at this bank)","radio/television",2520,"255 euro <= ... < 511 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",23,"none","own",2,"unskilled - resident",1,"none","yes","1"
"No checking account",15,"existing credits paid back duly till now","radio/television",3568,"... <  51 euro",".. >= 7 years",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",54,"bank","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",42,"existing credits paid back duly till now","radio/television",7166,"unknown/ no savings account","4  <= ... < 7 years",2,"male   : married/widowed","none",4,"(if not real estate) building society savings agreement/ life insurance",29,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",11,"critical account/other credits existing (not at this bank)","car (new)",3939,"... <  51 euro","1  <= ... < 4 years",1,"male   : single","none",2,"real estate",40,"none","own",2,"unskilled - resident",2,"none","yes","0"
"0 <= ... <  102 euro",15,"existing credits paid back duly till now","repairs",1514,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"male   : single","guarantor",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",24,"existing credits paid back duly till now","car (new)",7393,"... <  51 euro","1  <= ... < 4 years",1,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",43,"none","own",1,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",24,"all credits at this bank paid back duly","car (new)",1193,"... <  51 euro","unemployed",1,"female : divorced/separated/married","co-applicant",4,"unknown / no property",29,"none","rent",2,"unemployed/ unskilled  - non-resident",1,"none","yes","1"
"... <  0 euro",60,"existing credits paid back duly till now","business",7297,"... <  51 euro",".. >= 7 years",4,"male   : single","co-applicant",4,"unknown / no property",36,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"No checking account",30,"critical account/other credits existing (not at this bank)","radio/television",2831,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
